nombre	marca	tienda	pais	alergenos	additivos	puntuacion_nova	image_url	image_small_url	calorias	energia	grasa	grasas_saturadas	colesterol	carbohidratos	azucares	fibra	proteinas	sal	sodio	calcio	hierro	puntuacion
Mousse chocolate con leche	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/027/7077/front_es.19.400.jpg	https://images.openfoodfacts.org/images/products/848/000/027/7077/front_es.19.200.jpg	29	121	0	0		7.3	7.3		0	0.2	0.08			10
Pizza fresca romana	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/029/0472/front_es.12.400.jpg	https://images.openfoodfacts.org/images/products/848/000/029/0472/front_es.12.200.jpg	30	126	0	0		7.3	7.3		0	0.01	0.004			10
Gelatina 0% frutos silvestres	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/064/4787/front_en.11.400.jpg	https://images.openfoodfacts.org/images/products/848/000/064/4787/front_en.11.200.jpg	94	393	0	0		23	21		0	0.02	0.008			5
Fresh gas manzana zero	Hacendado		es				https://images.openfoodfacts.org/images/products/013/208/012/3000018/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/013/208/012/3000018/front_es.3.200.jpg	226	946	14	1.3		18	8.6		5.3	0.9	0.36			
Barritas rellenas	Hacendado	Hacendado	es				https://images.openfoodfacts.org/images/products/01931312/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/01931312/front_es.3.200.jpg	39	163	2.5	0.8		3.5	2.1		0.6	0.1	0.04			
Tortas de anis	Hacendado		es				https://images.openfoodfacts.org/images/products/40294889/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/40294889/front_es.3.200.jpg	364	1523	1.7	0.3		76	1.3		9.6	1.15	0.46			
L.casei piña coco	Hacendado	Hacendado	es				https://images.openfoodfacts.org/images/products/848/000/009/4834/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/009/4834/front_es.3.200.jpg	399	1669	6.2	3.4		76	18.3		8.3	0.98	0.392			
Bifidus con lima - limon 0%	Hacendado	Hacendado	es				https://images.openfoodfacts.org/images/products/848/000/065/1303/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/065/1303/front_es.3.200.jpg	294	1230	10	5.7		82	0		0.5					
Cappuccino vienes	Hacendado	Mercadona	es				https://images.openfoodfacts.org/images/products/748/005/605/2148/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/748/005/605/2148/front_es.3.200.jpg	348	1456	6.1	0.4		47.5	6		18.6					
Brioche	Hacendado	Hacendado	es				https://images.openfoodfacts.org/images/products/848/000/016/5336/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/016/5336/front_es.3.200.jpg	13	54	0.5	0		1.1	0.9		1.5	1	0.4			
Pechuga de pavo pimienta	Hacendado		es				https://images.openfoodfacts.org/images/products/17257303/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/17257303/front_es.3.200.jpg	603	2523	51	3.9		5.4	5.4		25	0	0			
Mojo canario verde	Hacendado	Hacendado	es				https://images.openfoodfacts.org/images/products/848/000/088/4664/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/088/4664/front_es.3.200.jpg	150	628	0.1	0		35.5	27.8		1.2	1.8	0.72			
Ensalada cesar	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/034/1501/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/034/1501/front_es.3.200.jpg														
Muesli sin azucares	Hacendado	Mercadona	es				https://images.openfoodfacts.org/images/products/39568243/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/39568243/front_es.3.200.jpg	259	1084	1.1	0.2		53.4	1.8		8.8	1.6	0.64			
L.casei coco	Hacendado	Hacendado	es				https://images.openfoodfacts.org/images/products/848/000/066/7595/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/066/7595/front_es.3.200.jpg														
Preparado para natillas caseras	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/07430038/front_es.4.400.jpg	https://images.openfoodfacts.org/images/products/07430038/front_es.4.200.jpg														
Filete de salmon salvaje	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/10517710/front_es.27.400.jpg	https://images.openfoodfacts.org/images/products/10517710/front_es.27.200.jpg														
Te breakfast	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/012/1103/front_es.5.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/1103/front_es.5.200.jpg	567	2372	36	23		55	54		5.8	0.1	0.04			27
Pan de molde semillas & pipas	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/087/6058/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/087/6058/front_es.3.200.jpg	400	1674	31	16		25	1.8		4.4	0.46	0.184			16
Caffé latte cappuccino	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/063/4610/front_es.6.400.jpg	https://images.openfoodfacts.org/images/products/848/000/063/4610/front_es.6.200.jpg	200	837	7.6	2.3		25.8	7.4		6.4	1	0.4			6
Pipa natural	hacendado	Mercadona	España	en:gluten		4	https://images.openfoodfacts.org/images/products/848/000/029/3435/front_es.22.400.jpg	https://images.openfoodfacts.org/images/products/848/000/029/3435/front_es.22.200.jpg	264	1105	4.7	0.7		18	2.3	45	15	0.07	0.028			-7
Cacahuete tostado 0% sal	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/024/4376/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/024/4376/front_es.3.200.jpg	170	711	0.8	0.2		34	6.5		5.7	1.5	0.6			6
Batido de fresa 95% leche 0%	Hacendado		España																			
